GEO_ID,state,county,year,Median Annual Household Income,Median Monthly Housing Costs,Median Value for Owner Occupied Housing Units,Percent White Collar,Percent College Graduate,geo11
1400000US17031770602,Illinois,Cook County,2018,63112,1028,274600,0.2155688622754491,0.304296989184449,17031770602
1400000US17031802004,Illinois,Cook County,2018,45045,1117,155700,0.3742280773981062,0.4979876576334854,17031802004
1400000US17031770901,Illinois,Cook County,2018,69321,1317,268500,0.36972802522664566,0.37938873452892147,17031770901
1400000US17031770902,Illinois,Cook County,2018,60000,1140,276700,0.31667707682698315,0.371277798718432,17031770902
1400000US17031802003,Illinois,Cook County,2018,99881,1407,431900,0.5240066225165563,0.6472237801458216,17031802003
1400000US17031823500,Illinois,Cook County,2018,56331,1055,145500,0.2621448212648946,0.2988287432731877,17031823500
1400000US17031821500,Illinois,Cook County,2018,30222,959,83800,0.2319327731092437,0.1688191881918819,17031821500
1400000US17031821800,Illinois,Cook County,2018,71316,1314,173400,0.39114391143911437,0.47827313769751695,17031821800
1400000US17031823400,Illinois,Cook County,2018,47371,926,141300,0.18774277082434182,0.2182741116751269,17031823400
1400000US17031823702,Illinois,Cook County,2018,56938,1138,232900,0.3982780612244898,0.37633388664927675,17031823702
1400000US17031825000,Illinois,Cook County,2018,63931,1054,169400,0.3013304566702625,0.3552479815455594,17031825000
1400000US17031826201,Illinois,Cook County,2018,33989,874,82400,0.3272870662460568,0.295292922451744,17031826201
1400000US17031826301,Illinois,Cook County,2018,52917,1268,97900,0.24592748292170258,0.27300970873786407,17031826301
1400000US17031824113,Illinois,Cook County,2018,95668,1729,337900,0.4184218799119774,0.49215726217152167,17031824113
1400000US17031824114,Illinois,Cook County,2018,104861,1813,339000,0.5514541387024608,0.608950452850293,17031824114
1400000US17031824115,Illinois,Cook County,2018,69342,1158,212300,0.38934203371397497,0.3578838174273859,17031824115
1400000US17031824116,Illinois,Cook County,2018,67870,1264,218900,0.3950018649757553,0.5073684210526316,17031824116
1400000US17031824117,Illinois,Cook County,2018,97899,1621,278600,0.4861866889912097,0.5708077326539788,17031824117
1400000US17031824119,Illinois,Cook County,2018,98854,1436,318900,0.5283636363636364,0.6200460829493087,17031824119
1400000US17031824120,Illinois,Cook County,2018,105942,1357,359700,0.5063908900766907,0.5829793689320388,17031824120
1400000US17031824121,Illinois,Cook County,2018,81480,1345,212700,0.4449127031908489,0.4652191395255328,17031824121
1400000US17031824122,Illinois,Cook County,2018,99038,1475,265200,0.4133771929824561,0.5252283601565898,17031824122
1400000US17031824123,Illinois,Cook County,2018,66981,1322,214400,0.39705882352941174,0.372696502444528,17031824123
1400000US17031825303,Illinois,Cook County,2018,65216,1436,192800,0.34520276953511375,0.35599551737019053,17031825303
1400000US17031830500,Illinois,Cook County,2018,39401,964,134400,0.13255684969495285,0.12303290414878398,17031830500
1400000US17031825304,Illinois,Cook County,2018,65720,1212,213700,0.3390484354907844,0.34541299379693113,17031825304
1400000US17031830007,Illinois,Cook County,2018,44595,1123,122200,0.2862453531598513,0.32036024445159217,17031830007
1400000US17031830008,Illinois,Cook County,2018,86160,1727,157000,0.3482935951379149,0.39307390217779364,17031830008
1400000US17031830600,Illinois,Cook County,2018,47355,1056,229500,0.32905982905982906,0.42857142857142855,17031830600
1400000US17031830700,Illinois,Cook County,2018,51950,1043,262800,0.50992501102779,0.5099122521936952,17031830700
1400000US17031830800,Illinois,Cook County,2018,72500,1273,351700,0.6251287332646756,0.7206832871652816,17031830800
1400000US17031830900,Illinois,Cook County,2018,102250,1913,375900,0.5042372881355932,0.6626349892008639,17031830900
1400000US17031831000,Illinois,Cook County,2018,159020,2485,587100,0.7414634146341463,0.9208309938236946,17031831000
1400000US17031831100,Illinois,Cook County,2018,60745,1185,332600,0.3218853623874941,0.3415070699838912,17031831100
1400000US17031831200,Illinois,Cook County,2018,37880,1070,186900,0.14470642625982433,0.22440013518080432,17031831200
1400000US17031831300,Illinois,Cook County,2018,39896,1135,111100,0.17543859649122806,0.23834886817576564,17031831300
